s | Zwei Themen die Perot immer wieder anspricht Rezession und Bürokratie | machen | ihnen besonders zu schaffen
o | seinen Finanzminister | drängt | noch stärker die Werbetrommel bei ausländischen Investoren zu rühren noch mehr in Optimismus zu machen
s | Zwei Themen die Perot immer wieder anspricht Rezession und Bürokratie | machen | ihnen besonders zu schaffen
o | seinen Finanzminister | drängt | noch stärker die Werbetrommel bei ausländischen Investoren zu rühren noch mehr in Optimismus zu machen
s | man | versucht | die NPD auszugrenzen zu stigmatisieren
s | sein übereifriger Sportkumpel | weigerte | dem Gerempelten Schmerzensgeld und einen Ausgleich für den erlittenen Verdienstausfall zu zahlen
s | die Schweizer | ermächtigt | ihren Mist samt Gülle loszuwerden
s | die Pasdaran die Revolutionswächter | versuchten | die Versammlung aufzulösen
s | die Polizei | versuchte | die von Slumbewohnern unerlaubt gebauten Lehmhütten niederzureißen
o | den Revolutionsgerichten und den Revolutionswächtern | befahl | das Unkraut erbarmungslos auszureißen
o | dem Imam | ermöglichte | die Einlösung seiner Versprechen zu vertagen ohne seine Glaubwürdigkeit gänzlich einzubüßen
s | das Bundesministerium von Frau Merkel | ist | beispielsweise einen größeren Forschungsantrag von uns zu jugendlichen Skinheads der seit zweieinhalb Jahren vorliegt abzulehnen
s | Selbst die Familie des Mittvierzigers | bekommt | den langen Arm der Staatsgewalt zu spüren
s | er | versäumte | die Tat seines Vaters zu kritisieren
o | die Abgeordneten | zwingt | Zustimmung oder Ablehnung ausführlich zu begründen
o | alle bei der Volkskammer registrierten Parteien und Organisationen insgesamt 62 | aufgefordert | Rechenschaft abzulegen
s | Die belgische Regierung | angekündigt | ihre Ausgaben für Verteidigung einzuschränken und die Streitkräfte umzuorganisieren
s | Die OECD | empfahl | die Politik der Privatisierung und Geldwertstabilität fortzusetzen und das Wachstum des Staatsetats noch mehr zu begrenzen
s | Jäggi | erklärt | auf Wunsch des Aufsichtsrates den Posten jederzeit zur Verfügung zu stellen
s | Finanzminister Ioannis Paleokrassas | gehofft | mit dem Verkauf von Staatsbetrieben seine Haushaltseinnahmen um 1,5 Milliarden Mark aufbessern zu können
o | die | bat | ihm bis zum Monatsende aufzulisten welche ihrer Kompetenz unterstellte Unternehmen zu privatisieren es gebe
o | Chris Patten | gewarnt | Parteimitglieder der United Democrats in sein Kabinett das Executive Council zu berufen
s | es | gedenkt | in der Hongkonger Politik ein gewichtiges Wort mitzureden
s | die Sowjetunion | bot | im Zuge eines Friedensvertrages zwischen den beiden Ländern zwei der vier südlichen Inselgruppen abzugeben
s | die USA | wußten | einen sowjetisch-japanischen Friedensvertrag zu verhindern
o | die Zulubewegung Inkatha | unterstütze | um den ANC zu schwächen
s | De Klerk | versuche | die Gewalt in den Schwarzensiedlungen als internen Machtkampf unter Schwarzen darzustellen statt sich der zentralen Rolle der Sicherheitskräfte bei den Unruhen denen in drei Jahren 8000 Menschen zum Opfer fielen zuzuwenden
o | dem ANC | warf | den Verhandlungsprozeß absichtlich gestört und künstlich eine Krisensituation geschaffen zu haben
s | Die Regierung | erklärte | internationale Experten zur Aufklärung von Gewaltakten ins Land zu holen
s | er | schlug | Zulagen für Arbeitnehmersparverträge zur Finanzierung der Pflegeversicherung einzusetzen
s | Der russische Regierungschef Jegor Gaidar | appellierte | sich der Gefahr des Totalitarismus zu widersetzen
o | Kafi | forderte | zu demokratischen Reformen zurückzukehren
s | es daß katholisch geprägte Länder wie Italien und Spanien ein liberaleres als Deutschland Abtreibungsrecht hätten | geben | Auch dem deutschen Verfassungsgericht zu denken
o | Hafnia | zwingen | an der Interbank ein überteuertes Aktienpaket von 73 Prozent zu erwerben
s | Hafnia | versucht | einen skandinavischen Versicherungskonzern mit der schwedischen Skandia und der norwegischen Uni Storebrand zu schmieden
s | Das Anfang Juni im Bundestag verabschiedete Gesetz zur Verkürzung der Asylverfahren | sieht | abgelehnte Flüchtlinge schneller als bisher abzuschieben
s | Teilnehmer der Kundgebung | versuchten | die Zufahrt zum Gebäude zu blockieren
s | Hekmatyar | geweigert | der Aufforderung des neuen Präsidenten Burhanuddin Rabbani zum Rückzug aller schwer bewaffneten Mudjaheddin-Kämpfer aus Kabul nachzukommen
s | die Usbeken-Kämpfer Dostams | versucht | dem von der Hezb-e Islami gestellten künftigen Ministerpräsidenten Abdul Sabur Fareed den Zugang nach Kabul zu blockieren
s | Irak | verpflichtet | seine Massenvernichtungswaffen und deren Produktionsanlagen unter Aufsicht der UN zu zerstören
s | Die italienische Zentralbank die die Gerüchte energisch dementierte | gezwungen | um ihre Währung zu stützen
o | die Siebenergruppe der Industrienationen G-7 | aufgefordert | die Bedingungen für die westliche Hilfe an sein Land zu lockern
s | Belgrad | versucht | diese Lieferungen über eine in der Resolution des UN-Sicherheitsrates vorgesehene Ausnahmeregelung aus humanitären Gründen freizubekommen
s | in erster Linie Frauen die als landlose billige Lohnarbeiterinnen oder ganz ohne eigene Absicherung für die Familie ohne Besitz ohne das Recht auf Eigentum auf dem Land schufteten | bekämen | Die Wasserknappheit als Folge der Abholzung ganzer Wälder zu spüren
